"date.time"	"day"	"horse"	"searchedfor"
2014-03-14 15:20:00	"4"	"On His Own"	TRUE
2014-03-14 15:20:00	"4"	"Silviniaco Conti"	TRUE
2014-03-14 15:20:00	"4"	"Teaforthree"	TRUE
2014-03-14 15:20:00	"4"	"The Giant Bolster"	TRUE
2014-03-14 15:20:00	"4"	"Triolo D'Alene"	TRUE
2014-03-14 16:00:00	"4"	"Berties Dream"	FALSE
2014-03-14 16:00:00	"4"	"Boxing Along"	FALSE
2014-03-14 16:00:00	"4"	"Carsonstown Boy"	FALSE
2014-03-14 16:00:00	"4"	"Certain Flight"	FALSE
2014-03-14 16:00:00	"4"	"Croan Rock"	FALSE
2014-03-14 16:00:00	"4"	"Divine Intavention"	FALSE
2014-03-14 16:00:00	"4"	"Doctor Kingsley"	FALSE
2014-03-14 16:00:00	"4"	"Double Bank"	FALSE
2014-03-14 16:00:00	"4"	"Foundry Square"	FALSE
2014-03-14 16:00:00	"4"	"Gale Force Oscar"	FALSE
2014-03-14 16:00:00	"4"	"Ganbei"	FALSE
2014-03-14 16:00:00	"4"	"Harbour Court"	FALSE
2014-03-14 16:00:00	"4"	"Made In Time"	FALSE
